,state_sat_2018,participation_sat_2018,erw_sat_2018,math_sat_2018,total_sat_2018,state_act_2018,participation_act_2018,composite_act_2018
0,Alabama,6.0,595,571,1166,Alabama,100.0,19.1
1,Alaska,43.0,562,544,1106,Alaska,33.0,20.8
2,Arizona,29.0,577,572,1149,Arizona,66.0,19.2
3,Arkansas,5.0,592,576,1168,Arkansas,100.0,19.4
4,California,60.0,540,536,1076,California,27.0,22.7
5,Colorado,100.0,519,506,1025,Colorado,30.0,23.9
6,Connecticut,100.0,535,519,1054,Connecticut,26.0,25.6
7,Delaware,100.0,505,492,997,Delaware,17.0,23.8
8,District of Columbia,92.0,497,480,977,District of Columbia,32.0,23.6
9,Florida,97.0,522,493,1015,Florida,66.0,19.9
10,Georgia,70.0,542,522,1064,Georgia,53.0,21.4
11,Hawaii,56.0,550,549,1099,Hawaii,89.0,18.9
12,Idaho,100.0,508,493,1001,Idaho,36.0,22.3
13,Illinois,99.0,513,506,1019,Illinois,43.0,23.9
14,Indiana,67.0,546,539,1085,Indiana,32.0,22.5
15,Iowa,3.0,634,631,1265,Iowa,68.0,21.8
16,Kansas,4.0,633,631,1264,Kansas,71.0,21.6
17,Kentucky,4.0,630,618,1248,Kentucky,100.0,20.2
18,Louisiana,4.0,615,595,1210,Louisiana,100.0,19.2
19,Maine,99.0,512,501,1013,Maine,7.0,24.0
20,Maryland,76.0,545,535,1080,Maryland,31.0,22.5
21,Massachusetts,80.0,562,563,1125,Massachusetts,25.0,25.5
22,Michigan,100.0,511,499,1010,Michigan,22.0,24.4
23,Minnesota,4.0,643,655,1298,Minnesota,99.0,21.3
24,Mississippi,3.0,630,606,1236,Mississippi,100.0,18.6
25,Missouri,4.0,633,629,1262,Missouri,100.0,20.0
26,Montana,10.0,606,592,1198,Montana,100.0,20.0
27,Nebraska,3.0,629,623,1252,Nebraska,100.0,20.1
28,Nevada,23.0,574,566,1140,Nevada,100.0,17.7
29,New Hampshire,96.0,535,528,1063,New Hampshire,16.0,25.1
30,New Jersey,82.0,547,547,1094,New Jersey,31.0,23.7
31,New Mexico,16.0,552,540,1092,New Mexico,67.0,19.4
32,New York,79.0,534,534,1068,New York,27.0,24.5
33,North Carolina,52.0,554,543,1097,North Carolina,100.0,19.1
34,North Dakota,2.0,640,643,1283,North Dakota,98.0,20.3
35,Ohio,18.0,552,547,1099,Ohio,100.0,20.3
36,Oklahoma,8.0,541,521,1062,Oklahoma,100.0,19.3
37,Oregon,48.0,564,553,1117,Oregon,42.0,21.3
38,Pennsylvania,70.0,547,539,1086,Pennsylvania,20.0,23.5
39,Rhode Island,97.0,513,505,1018,Rhode Island,15.0,24.2
40,South Carolina,55.0,547,523,1070,South Carolina,100.0,18.3
41,South Dakota,3.0,622,618,1240,South Dakota,77.0,21.9
42,Tennessee,6.0,624,607,1231,Tennessee,100.0,19.6
43,Texas,66.0,520,512,1032,Texas,41.0,20.6
44,Utah,4.0,618,612,1230,Utah,100.0,20.4
45,Vermont,64.0,565,554,1119,Vermont,24.0,24.1
46,Virginia,68.0,567,550,1117,Virginia,24.0,23.9
47,Washington,69.0,543,538,1081,Washington,24.0,22.2
48,West Virginia,28.0,513,486,999,West Virginia,65.0,20.3
49,Wisconsin,3.0,641,653,1294,Wisconsin,100.0,20.5
50,Wyoming,3.0,633,625,1258,Wyoming,100.0,20.0
